,Unnamed: 0,DRUNK_DR,FATALS,LATITUDE,LONGITUD,STATE,DATE
2,12929,0.0,1.0,39.83393889,-85.97206111,18.0,2001-01-02
4,12931,0.0,1.0,39.98946389,-86.2027,18.0,2001-01-03
5,12932,0.0,1.0,39.73142222,-86.50485,18.0,2001-01-03
8,12935,0.0,1.0,38.50571111,-87.25610278,18.0,2001-01-04
9,12936,0.0,1.0,39.48665,-85.47939167,18.0,2001-01-04
11,12938,1.0,1.0,37.99401389,-87.55744444,18.0,2001-01-05
14,12941,0.0,1.0,39.71337778,-86.13929167,18.0,2001-01-06
15,12942,2.0,1.0,39.45068056,-87.150025,18.0,2001-01-07
16,12943,1.0,1.0,39.86371667,-86.15703056,18.0,2001-01-07
17,12944,0.0,1.0,38.30317222,-85.75329167,18.0,2001-01-08
19,12946,0.0,1.0,38.50751667,-86.4431,18.0,2001-01-08
20,12947,0.0,1.0,39.77104722,-86.06405833,18.0,2001-01-09
21,12948,0.0,1.0,38.65544444,-87.12701944,18.0,2001-01-10
22,12949,0.0,1.0,38.23996111,-86.21830556,18.0,2001-01-11
24,12951,0.0,2.0,38.03551944,-86.08602222,18.0,2001-01-12
31,12958,1.0,1.0,38.64962778,-87.56,18.0,2001-01-19
32,12959,1.0,1.0,39.99574167,-86.76473611,18.0,2001-01-19
35,12962,0.0,1.0,39.78188056,-86.026225,18.0,2001-01-20
36,12963,0.0,1.0,39.78944167,-84.87566389,18.0,2001-01-20
37,12964,0.0,1.0,39.63054167,-86.69975278,18.0,2001-01-21
40,12967,0.0,1.0,39.60565833,-86.15889722,18.0,2001-01-22
45,12972,0.0,1.0,39.71403333,-85.77215,18.0,2001-01-26
46,12973,0.0,1.0,38.97797222,-85.59712222,18.0,2001-01-26
47,12974,0.0,1.0,39.37614167,-86.24980278,18.0,2001-01-26
48,12975,0.0,1.0,39.857375,-86.19643889,18.0,2001-01-26
49,12976,1.0,1.0,39.69448056,-86.24787222,18.0,2001-01-26
51,12978,0.0,1.0,39.90545556,-86.31645278,18.0,2001-01-28
52,12979,0.0,1.0,39.51656667,-86.48865833,18.0,2001-01-28
53,12980,0.0,1.0,39.93204167,-85.39266944,18.0,2001-01-29
55,12982,0.0,1.0,38.62810556,-87.53226111,18.0,2001-01-30
58,12985,0.0,1.0,39.12058889,-84.84928333,18.0,2001-02-02
59,12986,0.0,1.0,38.99805833,-85.63039167,18.0,2001-02-02
63,12990,0.0,1.0,38.97598056,-85.74020278,18.0,2001-02-04
64,12991,0.0,1.0,39.75414167,-86.17642222,18.0,2001-02-04
67,12994,0.0,1.0,39.27811667,-84.82636111,18.0,2001-02-06
69,12996,0.0,1.0,39.23405833,-84.94749167,18.0,2001-01-11
73,13000,0.0,1.0,39.46755,-87.04474167,18.0,2001-03-06
77,13004,1.0,1.0,39.065275,-84.97945,18.0,2001-03-11
79,13006,0.0,4.0,39.84749167,-85.97235556,18.0,2001-03-11
81,13008,1.0,1.0,39.91250556,-86.133675,18.0,2001-03-13
88,13015,0.0,1.0,37.97646667,-87.46271111,18.0,2001-03-16
93,13020,0.0,1.0,39.51613889,-86.79432778,18.0,2001-03-17
96,13023,0.0,1.0,39.99440833,-85.84396944,18.0,2001-02-06
98,13025,0.0,1.0,39.78870556,-86.09330278,18.0,2001-02-07
99,13026,1.0,1.0,39.61904167,-86.84445833,18.0,2001-02-07
100,13027,0.0,1.0,38.39886667,-87.58643056,18.0,2001-02-08
101,13028,1.0,1.0,38.96425,-85.58551111,18.0,2001-02-08
103,13030,0.0,1.0,39.64971944,-86.1369,18.0,2001-02-09
106,13033,0.0,1.0,39.61537222,-86.038225,18.0,2001-02-11
109,13036,0.0,1.0,39.61021944,-85.87733611,18.0,2001-02-12
110,13037,0.0,1.0,38.28478889,-85.87464722,18.0,2001-03-19
111,13038,1.0,1.0,38.79201111,-86.41136389,18.0,2001-03-19
112,13039,0.0,1.0,39.76954444,-86.15109167,18.0,2001-03-19
115,13042,0.0,1.0,38.872225,-86.51746389,18.0,2001-03-21
116,13043,0.0,1.0,38.44515556,-85.65506111,18.0,2001-02-13
118,13045,0.0,1.0,38.29228611,-85.76486667,18.0,2001-02-14
119,13046,0.0,1.0,39.34745833,-85.49749167,18.0,2001-02-14
120,13047,0.0,1.0,38.68371944,-87.44063611,18.0,2001-02-14
126,13053,1.0,1.0,38.54961111,-86.45361944,18.0,2001-03-22
127,13054,0.0,2.0,38.46328333,-87.10981944,18.0,2001-03-22
130,13057,0.0,1.0,38.87961389,-86.51932222,18.0,2001-04-01
135,13062,0.0,2.0,38.72791389,-85.78416944,18.0,2001-04-04
136,13063,0.0,1.0,39.78927778,-85.67194444,18.0,2001-04-05
137,13064,0.0,2.0,39.53734167,-86.14410556,18.0,2001-04-05
139,13066,0.0,1.0,38.43677778,-87.12741111,18.0,2001-04-05
143,13070,0.0,1.0,39.77851667,-86.19713056,18.0,2001-04-08
148,13075,1.0,1.0,38.62480833,-86.23303056,18.0,2001-03-24
150,13077,0.0,1.0,39.52173611,-85.72799722,18.0,2001-03-25
151,13078,1.0,1.0,38.02644722,-87.36215833,18.0,2001-03-25
152,13079,0.0,1.0,39.619075,-86.46451111,18.0,2001-04-09
156,13083,0.0,1.0,39.68046667,-86.15838889,18.0,2001-04-11
157,13084,0.0,1.0,38.86216944,-86.4872,18.0,2001-04-12
159,13086,0.0,1.0,39.90771389,-86.11783611,18.0,2001-04-13
160,13087,1.0,1.0,38.96829167,-85.00833889,18.0,2001-04-13
164,13091,0.0,1.0,37.94971389,-87.86018611,18.0,2001-04-15
165,13092,0.0,1.0,38.16075,-87.47349444,18.0,2001-04-15
166,13093,0.0,2.0,38.69331944,-87.49675833,18.0,2001-04-16
167,13094,0.0,1.0,39.38540278,-84.97954444,18.0,2001-04-17
170,13097,2.0,1.0,39.80109444,-86.42213056,18.0,2001-04-18
171,13098,0.0,1.0,38.82992222,-85.18424722,18.0,2001-04-18
174,13101,0.0,1.0,39.03454444,-85.899125,18.0,2001-04-20
176,13103,1.0,1.0,39.86341944,-86.27435278,18.0,2001-04-21
177,13104,0.0,1.0,39.77124167,-86.05991944,18.0,2001-04-21
178,13105,0.0,1.0,39.09769444,-87.18442222,18.0,2001-04-22
181,13108,2.0,1.0,38.99288611,-86.71014167,18.0,2001-04-25
183,13110,0.0,1.0,39.84562222,-87.03825556,18.0,2001-04-25
186,13113,1.0,1.0,38.20897222,-87.78394444,18.0,2001-04-29
189,13116,0.0,1.0,39.74898611,-86.34110278,18.0,2001-03-27
191,13118,0.0,1.0,39.43828333,-87.43255556,18.0,2001-03-28
194,13121,0.0,2.0,39.42087778,-86.15811389,18.0,2001-03-30
195,13122,0.0,1.0,38.89006389,-86.51428889,18.0,2001-03-30
200,13127,0.0,1.0,38.73722778,-85.62008611,18.0,2001-02-22
201,13128,0.0,1.0,39.82331944,-86.30910278,18.0,2001-02-22
203,13130,0.0,1.0,38.59629722,-86.13189444,18.0,2001-02-23
206,13133,0.0,1.0,39.833275,-86.02688333,18.0,2001-02-25
207,13134,0.0,2.0,39.90375278,-86.99180556,18.0,2001-02-25
210,13137,0.0,3.0,39.90357222,-84.96998611,18.0,2001-03-21
211,13138,0.0,1.0,38.16991667,-87.44676111,18.0,2001-04-05
212,13139,0.0,1.0,38.16978333,-87.44515,18.0,2001-04-25
213,13140,0.0,1.0,39.09256667,-85.82525833,18.0,2001-04-13
214,13141,0.0,1.0,38.57487222,-86.54399167,18.0,2001-05-02
218,13145,0.0,1.0,37.92158611,-87.98166111,18.0,2001-05-16
220,13147,0.0,1.0,39.92804167,-86.25985833,18.0,2001-05-17
221,13148,1.0,1.0,38.28283333,-86.14510278,18.0,2001-05-17
224,13151,0.0,1.0,39.77296111,-86.02589444,18.0,2001-05-19
226,13153,1.0,1.0,38.00170833,-86.96677222,18.0,2001-05-19
227,13154,0.0,1.0,39.72710278,-86.049325,18.0,2001-05-20
229,13156,0.0,1.0,39.57594167,-86.37608333,18.0,2001-05-22
233,13160,0.0,1.0,39.91111667,-85.16386111,18.0,2001-05-25
236,13163,0.0,1.0,39.79858333,-86.43825,18.0,2001-05-26
238,13165,0.0,1.0,39.68416667,-86.09303056,18.0,2001-05-26
241,13168,0.0,3.0,39.70220278,-86.52326111,18.0,2001-05-27
244,13171,0.0,1.0,39.01443611,-85.6402,18.0,2001-05-28
246,13173,1.0,1.0,38.44756944,-86.23894722,18.0,2001-05-28
248,13175,0.0,1.0,39.43079722,-87.37723333,18.0,2001-05-29
249,13176,0.0,1.0,39.53523056,-86.38666389,18.0,2001-05-30
251,13178,0.0,1.0,39.02245278,-86.93745833,18.0,2001-05-31
255,13182,0.0,1.0,39.92717222,-85.91905278,18.0,2001-04-07
256,13183,0.0,1.0,37.98145278,-87.54163611,18.0,2001-02-10
257,13184,0.0,1.0,39.50710833,-86.94308889,18.0,2001-05-01
258,13185,0.0,1.0,39.30237222,-85.20075278,18.0,2001-05-01
267,13194,0.0,1.0,39.75734444,-86.11605,18.0,2001-05-04
268,13195,0.0,1.0,39.56881389,-85.80067778,18.0,2001-05-04
271,13198,0.0,1.0,39.19585833,-85.96799999999998,18.0,2001-05-06
274,13201,0.0,1.0,38.717925,-85.51653056,18.0,2001-05-07
275,13202,0.0,1.0,39.44664444,-86.16814167,18.0,2001-05-07
276,13203,0.0,1.0,39.87882778,-86.20693333,18.0,2001-05-07
278,13205,0.0,1.0,38.54016389,-86.03376111,18.0,2001-05-08
279,13206,0.0,1.0,39.92021944,-86.61479444,18.0,2001-05-09
280,13207,0.0,1.0,39.81983056,-86.27554722,18.0,2001-05-09
286,13213,2.0,1.0,39.61710556,-85.17436667,18.0,2001-05-13
288,13215,0.0,1.0,39.10315,-84.89968889,18.0,2001-05-14
292,13219,0.0,1.0,38.735475,-85.97237222,18.0,2001-05-14
295,13222,0.0,1.0,38.73790278,-85.51630833,18.0,2001-03-13
297,13224,2.0,1.0,38.00618333,-87.46486667,18.0,2001-06-01
300,13227,0.0,1.0,39.81398333,-85.76993611,18.0,2001-06-02
301,13228,1.0,1.0,37.893725,-87.06099722,18.0,2001-06-02
303,13230,1.0,1.0,39.82450833,-86.198125,18.0,2001-06-04
305,13232,0.0,1.0,39.73408611,-84.92763056,18.0,2001-06-07
