,EVENT_ID,EPISODE_ID,RANGE,LAT1,LON1
1558,509350,84367,1.54,37.9411,-87.394
1559,509350,84367,1.57,37.9382,-87.3953
1560,509350,84367,3.07,37.9287,-87.3694
1561,509350,84367,2.98,37.9317,-87.3696
1562,509350,84367,2.32,37.9372,-87.3807
1563,509351,84367,0.53,37.9223,-87.9002
1564,509351,84367,0.94,37.9087,-87.9167
1565,509351,84367,1.0,37.9121,-87.92
1566,509351,84367,0.52,37.9251,-87.9074
1567,509352,84367,1.48,38.4044,-87.5614
1568,509352,84367,2.23,38.4034,-87.5446
1569,509352,84367,3.12,38.3869,-87.5367
1570,509352,84367,2.43,38.3882,-87.5609
1571,509352,84367,1.5,38.3985,-87.5839
1572,509352,84367,0.89,38.4071,-87.5784
1573,509356,84367,0.0,38.4,-87.73
1574,509356,84367,0.56,38.3565,-87.7739
1575,509356,84367,1.16,38.3667,-87.7818
1576,509356,84367,0.95,38.4068,-87.7452
1577,509358,84367,0.61,38.1312,-87.9411
1578,509358,84367,0.6,38.1385,-87.9272
1579,509358,84367,1.64,38.1537,-87.9315
1580,509358,84367,2.64,38.1641,-87.9033
1581,509358,84367,0.64,38.1329,-87.9188
1582,509363,84367,1.07,38.4942,-87.4884
1583,509363,84367,0.95,38.4924,-87.5379
1584,509363,84367,1.4,38.5001,-87.5339
1585,509363,84367,1.8,38.4996,-87.508
1586,509364,84367,0.13,38.4987,-87.2781
1587,509364,84367,1.18,38.5167,-87.2754
1588,509364,84367,4.93,38.5487,-87.1945
1589,509364,84367,3.2,38.5326,-87.1621
1590,509364,84367,2.12,38.5288,-87.1065
1591,509364,84367,1.22,38.5154,-87.1089
1977,510749,84579,1.56,37.9916,-87.6218
1978,510749,84579,2.19,38.0313,-87.4735
1979,510944,84579,0.0,38.02,-87.43
1980,510944,84579,0.0,38.08,-87.12
1981,510945,84579,0.0,38.12,-87.03
1982,510945,84579,2.0,38.0995,-87.004
1983,510946,84579,0.38,38.0848,-87.1165
1984,510947,84579,0.0,38.1,-86.97
1985,510947,84579,2.0,38.0811,-86.866
1986,510960,84579,0.0,37.98,-87.55
1987,510961,84579,0.0,38.05,-87.27
1988,512574,84579,0.0,38.17,-86.98
1989,512604,84579,1.71,38.0031,-87.8389
2286,506256,83856,1.48,38.24,-86.86
2848,507959,84143,0.71,38.7398,-85.3842
2849,507959,84143,0.76,38.7405,-85.3847
2850,507959,84143,0.78,38.7409,-85.3837
2851,507959,84143,0.74,38.7405,-85.3828
2852,507961,84143,0.88,38.74,-85.46
