EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,RANGE,TOR_F_SCALE
443663,2013-06-01 00:04:00,41.1739,-85.3452,0,0,0,0,2013-06-01 05:45:00,41.1717,-85.6278,73398,Flash Flood,0,0,0.0,4.103817,
443661,2013-06-01 00:44:00,41.091,-84.8137,0,0,0,0,2013-06-01 05:45:00,41.0195,-85.336,73398,Flash Flood,0,0,0.0,1.6737136,
457381,2013-06-01 02:00:00,40.91,-86.9855,0,0,0,0,2013-06-01 05:15:00,40.9101,-86.5831,73398,Flash Flood,0,0,0.0,1.7219938,
443666,2013-06-01 02:31:00,41.2602,-85.661,0,0,0,0,2013-06-01 05:15:00,41.0704,-85.653,73398,Flash Flood,0,0,0.0,6.6304808,
455983,2013-06-01 01:00:00,40.9633,-86.1844,0,0,0,0,2013-06-01 01:01:00,40.9633,-86.1844,73398,Thunderstorm Wind,0,0,55.0,4.6188058,
455984,2013-06-01 00:55:00,41.04,-86.03,0,0,0,0,2013-06-01 00:56:00,41.04,-86.03,73398,Thunderstorm Wind,0,0,55.0,2.7519714,
455986,2013-06-01 00:10:00,40.8,-86.79,0,0,0,0,2013-06-01 00:11:00,40.8,-86.79,73398,Thunderstorm Wind,0,0,50.0,0.8368568,
457365,2013-06-01 03:00:00,41.1708,-86.4657,0,0,0,0,2013-06-01 05:15:00,40.91,-86.4671,73398,Flash Flood,0,0,0.0,5.9384646,
457374,2013-06-01 04:11:00,41.1701,-86.9281,0,0,0,0,2013-06-01 05:15:00,40.913,-86.9296,73398,Flash Flood,0,0,0.0,10.2836826,
455985,2013-06-01 00:10:00,40.74,-86.74,0,0,0,0,2013-06-01 00:11:00,40.74,-86.74,73398,Thunderstorm Wind,0,0,55.0,1.4001258,
390166,2012-06-29 15:06:00,39.83,-84.89,0,80000,0,0,2012-06-29 15:19:00,39.83,-84.89,65098,Thunderstorm Wind,0,0,65.0,0.8529502,
390167,2012-06-29 15:19:00,39.812,-85.1983,0,10000,0,0,2012-06-29 15:23:00,39.81,-85.17,65098,Thunderstorm Wind,0,0,65.0,2.0599552,
390169,2012-06-29 15:21:00,39.61,-84.97,0,5000,0,0,2012-06-29 15:25:00,39.61,-84.97,65098,Thunderstorm Wind,0,0,61.0,2.8002516,
390170,2012-06-29 16:00:00,39.2,-84.86,0,2000,0,0,2012-06-29 16:04:00,39.2,-84.86,65098,Thunderstorm Wind,0,0,50.0,2.3818232,
390168,2012-06-29 15:18:00,39.6338,-84.9309,0,1000,0,0,2012-06-29 15:22:00,39.6338,-84.9309,65098,Thunderstorm Wind,0,0,61.0,0.4345218,
22591,2007-05-15 17:15:00,41.12,-85.43,0,5000,0,0,2007-05-15 17:16:00,41.12,-85.43,4025,Thunderstorm Wind,0,0,50.0,0.8368568,
22516,2007-05-15 15:29:00,41.12,-86.39,0,0,0,0,2007-05-15 15:30:00,41.12,-86.39,4025,Thunderstorm Wind,0,0,55.0,0.8368568,
22528,2007-05-15 14:49:00,41.61,-86.71,0,0,0,0,2007-05-15 14:50:00,41.61,-86.71,4025,Thunderstorm Wind,0,0,60.0,1.3840324,
22593,2007-05-15 17:40:00,41.53,-85.07,0,0,0,0,2007-05-15 17:41:00,41.53,-85.07,4025,Thunderstorm Wind,0,0,55.0,4.3130312,
22621,2007-05-15 13:50:00,41.42,-85.75,0,0,0,0,2007-05-15 13:51:00,41.42,-85.75,4025,Thunderstorm Wind,0,0,53.0,1.6862761328,
22675,2007-05-15 17:00:00,41.2186,-85.8153,0,15000,0,0,2007-05-15 17:01:00,41.2186,-85.8153,4025,Thunderstorm Wind,0,0,55.0,1.770274,
