,DAY,DRUNK_DR,FATALS,HOUR,LATITUDE,LONGITUD,MINUTE,MONTH,STATE,YEAR
9901,1.0,1.0,1.0,3.0,41.042075,-85.09636389,27.0,1.0,18.0,2011.0
9902,1.0,1.0,1.0,7.0,41.06074722,-85.12696389,53.0,1.0,18.0,2011.0
9903,3.0,0.0,1.0,17.0,38.32041389,-85.75356944,20.0,1.0,18.0,2011.0
9904,4.0,0.0,1.0,6.0,39.87041944,-84.93075278,42.0,1.0,18.0,2011.0
9905,2.0,0.0,1.0,19.0,40.44038333,-84.80398056,24.0,1.0,18.0,2011.0
9906,6.0,0.0,1.0,19.0,39.28289444,-84.95976389,55.0,1.0,18.0,2011.0
9907,6.0,0.0,1.0,14.0,40.64066111,-85.62984444,37.0,1.0,18.0,2011.0
9908,7.0,0.0,1.0,12.0,39.69979167,-86.10727778,4.0,1.0,18.0,2011.0
9909,3.0,0.0,1.0,11.0,41.58428056,-87.35632778,16.0,1.0,18.0,2011.0
9910,1.0,1.0,1.0,6.0,41.50292222,-87.36602778,34.0,1.0,18.0,2011.0
9911,6.0,0.0,1.0,13.0,40.42411389,-85.54946389,19.0,1.0,18.0,2011.0
9912,10.0,0.0,1.0,13.0,40.27880556,-86.48720833,50.0,1.0,18.0,2011.0
9913,10.0,0.0,1.0,19.0,38.44189167,-85.65816944,53.0,1.0,18.0,2011.0
9914,11.0,0.0,1.0,19.0,38.82526667,-85.47294722,12.0,1.0,18.0,2011.0
9915,4.0,0.0,1.0,19.0,39.143375,-84.82801389,7.0,1.0,18.0,2011.0
9916,13.0,0.0,1.0,1.0,38.68336667,-87.48825,59.0,1.0,18.0,2011.0
9917,12.0,0.0,1.0,6.0,41.33063889,-87.20032778,28.0,1.0,18.0,2011.0
9918,13.0,0.0,1.0,13.0,39.95006111,-86.35735833,55.0,1.0,18.0,2011.0
9919,9.0,0.0,4.0,17.0,41.42947222,-85.05328889,10.0,1.0,18.0,2011.0
9920,16.0,0.0,1.0,2.0,39.49973889,-87.39082778,15.0,1.0,18.0,2011.0
