EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
418355,69738,Winter Storm,26-DEC-12 06:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418356,69738,Winter Storm,26-DEC-12 06:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418357,69738,Winter Weather,26-DEC-12 07:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418359,69738,Winter Weather,26-DEC-12 07:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418360,69738,Winter Weather,26-DEC-12 08:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418361,69738,Winter Weather,26-DEC-12 08:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418362,69738,Winter Weather,26-DEC-12 08:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
368645,61621,Winter Weather,04-MAR-12 22:00:00,05-MAR-12 04:00:00,0,0,0,0,,,,,,,,
368646,61621,Winter Weather,04-MAR-12 22:00:00,05-MAR-12 04:00:00,0,0,0,0,,,,,,,,
371713,61697,Hail,02-MAR-12 15:57:00,02-MAR-12 16:00:00,0,0,0,0,,,1.75,,39.83,-84.9,39.83,-84.9
425824,70875,Winter Storm,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
425825,70876,Winter Weather,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
425826,70876,Winter Weather,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
425827,70876,Winter Weather,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
425828,70876,Winter Weather,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
425829,70876,Winter Weather,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
