,EPISODE_ID,EVENT_ID,RANGE,LATITUDE,LONGITUDE,LAT2,LON2
1558,84367,509350,1.54,37.9411,-87.394,3756466.0,8723640.0
1559,84367,509350,1.57,37.9382,-87.3953,3756292.0,8723718.0
1560,84367,509350,3.07,37.9287,-87.3694,3755722.0,8722164.0
1561,84367,509350,2.98,37.9317,-87.3696,3755902.0,8722176.0
1562,84367,509350,2.32,37.9372,-87.3807,3756232.0,8722842.0
1563,84367,509351,0.53,37.9223,-87.9002,3755338.0,8754012.0
1564,84367,509351,0.94,37.9087,-87.9167,3754522.0,8755002.0
1565,84367,509351,1.0,37.9121,-87.92,3754726.0,8755200.0
1566,84367,509351,0.52,37.9251,-87.9074,3755506.0,8754444.0
1567,84367,509352,1.48,38.4044,-87.5614,3824264.0,8733684.0
1568,84367,509352,2.23,38.4034,-87.5446,3824204.0,8732676.0
1569,84367,509352,3.12,38.3869,-87.5367,3823214.0,8732202.0
1570,84367,509352,2.43,38.3882,-87.5609,3823292.0,8733654.0
1571,84367,509352,1.5,38.3985,-87.5839,3823910.0,8735034.0
1572,84367,509352,0.89,38.4071,-87.5784,3824426.0,8734704.0
1573,84367,509356,0.0,38.4,-87.73,3824000.0,8743800.0
1574,84367,509356,0.56,38.3565,-87.7739,3821390.0,8746434.0
1575,84367,509356,1.16,38.3667,-87.7818,3822002.0,8746908.0
1576,84367,509356,0.95,38.4068,-87.7452,3824408.0,8744712.0
1577,84367,509358,0.61,38.1312,-87.9411,387872.0,8756466.0
1578,84367,509358,0.6,38.1385,-87.9272,388310.0,8755632.0
1579,84367,509358,1.64,38.1537,-87.9315,389222.0,8755890.0
1580,84367,509358,2.64,38.1641,-87.9033,389846.0,8754198.0
1581,84367,509358,0.64,38.1329,-87.9188,387974.0,8755128.0
1582,84367,509363,1.07,38.4942,-87.4884,3829652.0,8729304.0
1583,84367,509363,0.95,38.4924,-87.5379,3829544.0,8732274.0
1584,84367,509363,1.4,38.5001,-87.5339,3830006.0,8732034.0
1585,84367,509363,1.8,38.4996,-87.508,3829976.0,8730480.0
1586,84367,509364,0.13,38.4987,-87.2781,3829922.0,8716686.0
1587,84367,509364,1.18,38.5167,-87.2754,3831002.0,8716524.0
1588,84367,509364,4.93,38.5487,-87.1945,3832922.0,8711670.0
1589,84367,509364,3.2,38.5326,-87.1621,3831956.0,879726.0
1590,84367,509364,2.12,38.5288,-87.1065,3831728.0,876390.0
1591,84367,509364,1.22,38.5154,-87.1089,3830924.0,876534.0
1977,84579,510749,1.56,37.9916,-87.6218,3759496.0,8737308.0
1978,84579,510749,2.19,38.0313,-87.4735,381878.0,8728410.0
