EPISODE_ID,BEGIN_DATE,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO
73398,2013-06-01 00:04:00,2013-06-01 05:45:00,0,0,3,0,0,0,0,0,3
65098,2012-06-29 15:06:00,2012-06-29 16:04:00,0,0,0,0,0,0,0,0,3
4025,2007-05-15 13:50:00,2007-05-15 17:41:00,0,0,0,0,0,0,0,1,3
22667,2008-09-12 18:25:00,2008-09-12 18:30:00,0,0,0,0,0,0,0,0,3
22660,2008-09-08 21:04:00,2008-09-09 02:02:00,1.75,0,0,0,0,0,0,0,3
61456,2012-03-02 13:10:00,2012-03-02 14:11:00,0.88,0,0,0,0,0,0,0,0
14290,2008-02-05 22:40:00,2008-02-06 04:30:00,1.0,0,3,0,0,0,0,0,3
1211378,2006-05-10 17:22:00,2006-05-10 17:27:00,0,0,0,0,0,0,0,1,0
73088,2013-04-19 05:00:00,2013-04-30 23:59:00,0,0,2,0,0,0,0,0,0
1211371,2006-05-10 17:08:00,2006-05-10 17:08:00,0,0,0,0,0,0,0,1,0
1211372,2006-05-10 17:17:00,2006-05-10 17:17:00,0,0,0,0,0,0,0,1,0
32836,2009-05-30 18:52:00,2009-05-30 21:27:00,1.75,0,0,0,0,0,0,0,3
1211375,2006-05-10 16:08:00,2006-05-10 16:17:00,0,0,0,0,0,0,0,1,0
1211377,2006-05-10 16:58:00,2006-05-10 17:02:00,0,0,0,0,0,0,0,1,0
75542,2013-06-27 16:25:00,2013-06-27 20:56:00,2.0,0,0,0,0,0,0,0,3
65279,2012-06-16 14:40:00,2012-06-16 20:05:00,1.75,0,0,0,0,0,0,0,3
61195,2012-04-01 20:20:00,2012-04-01 22:30:00,2.0,0,0,0,0,0,0,0,0
61190,2012-03-30 15:04:00,2012-03-30 19:30:00,1.75,0,2,0,0,0,0,0,3
104447,2016-04-13 08:00:00,2016-04-20 08:00:00,0,0,2,0,0,0,0,0,0
25380,2008-12-25 20:00:00,2008-12-27 11:34:00,0,0,2,0,0,0,0,0,0
3772,2007-03-01 00:00:00,2007-03-31 23:59:00,0,0,2,0,0,0,0,0,0
3771,2007-03-25 16:30:00,2007-03-27 17:38:00,0,0,2,0,0,0,0,0,0
3770,2007-03-16 21:20:00,2007-03-19 20:54:00,0,0,2,0,0,0,0,0,0
1184414,2005-02-13 05:00:00,2005-02-23 05:00:00,0,0,2,0,0,0,0,0,0
1184413,2005-02-15 00:01:00,2005-02-26 18:00:00,0,0,2,0,0,0,0,0,0
32014,2009-06-11 15:18:00,2009-06-11 16:57:00,0.75,0,0,0,0,0,0,0,3
1219870,2006-08-10 13:35:00,2006-08-10 14:18:00,0.75,0,0,0,0,0,0,0,3
41833,2010-07-01 00:00:00,2010-07-05 18:00:00,0,0,2,0,0,0,0,0,0
1201292,2005-11-28 12:50:00,2005-11-28 12:50:00,0,0,0,0,0,0,0,0,3
1201296,2005-11-15 03:05:00,2005-11-15 09:30:00,0,0,3,0,0,0,0,0,3
1201297,2005-11-15 18:30:00,2005-11-15 20:30:00,0,0,0,0,0,0,0,0,3
1201294,2005-11-06 04:25:00,2005-11-06 05:30:00,0,0,0,0,0,0,0,0,3
1201299,2005-11-28 12:10:00,2005-11-28 13:00:00,0,0,0,0,0,0,0,0,3
43691,2010-07-28 17:15:00,2010-07-28 17:15:00,0,0,0,0,0,0,0,0,3
43690,2010-07-22 13:25:00,2010-07-22 13:28:00,0,0,0,0,0,0,0,1,0
1207829,2006-04-20 10:50:00,2006-04-20 10:50:00,0.75,0,0,0,0,0,0,0,0
1207821,2006-04-07 14:29:00,2006-04-07 18:25:00,2.5,0,0,0,0,0,0,0,3
1207826,2006-04-19 01:23:00,2006-04-19 02:38:00,1.0,0,0,0,0,0,0,0,0
43503,2010-07-15 13:14:00,2010-07-15 20:00:00,0,0,1,0,0,0,0,0,3
101943,2015-12-23 13:10:00,2015-12-23 16:13:00,0.75,0,0,0,0,0,0,1,3
17031,2008-05-17 02:00:00,2008-05-21 05:55:00,0,0,2,0,0,0,0,0,0
17032,2008-05-31 09:33:00,2008-05-31 23:59:00,0,0,2,0,0,0,0,0,0
62519,2012-03-15 12:10:00,2012-03-15 13:59:00,1.0,0,0,0,0,0,0,0,0
49764,2011-04-11 11:00:00,2011-04-30 23:59:00,0,0,2,0,0,0,0,0,0
52484,2011-06-05 09:00:00,2011-06-05 09:52:00,1.0,0,0,0,0,0,0,0,3
1213159,2006-06-07 14:11:00,2006-06-07 17:08:00,0.75,0,0,0,0,0,0,0,3
75618,2013-05-27 16:35:00,2013-05-27 21:30:00,0,0,2,0,0,0,0,0,3
65503,2012-06-28 18:20:00,2012-06-28 20:02:00,2.5,0,0,0,0,0,0,0,3
1213152,2006-06-28 15:25:00,2006-06-28 22:07:00,1.75,0,0,0,0,0,0,0,3
1213150,2006-06-25 14:10:00,2006-06-25 14:17:00,0,0,0,0,0,0,0,1,0
1213151,2006-06-22 11:30:00,2006-06-22 20:45:00,1.0,0,3,0,0,0,0,0,3
1213156,2006-06-01 14:20:00,2006-06-01 18:47:00,1.0,0,0,0,0,0,0,0,3
93929,2015-04-09 15:38:00,2015-04-10 01:22:00,0,0,0,0,0,0,0,0,3
4813,2007-04-01 00:00:00,2007-04-09 14:25:00,0,0,2,0,0,0,0,0,0
4811,2007-04-26 18:15:00,2007-04-26 18:15:00,0,0,0,0,0,0,0,0,3
4814,2007-04-26 14:00:00,2007-04-30 23:59:00,0,0,2,0,0,0,0,0,0
79810,2013-10-31 20:10:00,2013-10-31 20:35:00,0,0,0,0,0,0,0,0,3
1216698,2006-07-21 12:55:00,2006-07-21 13:10:00,0,0,0,0,0,0,0,0,3
1191326,2005-06-07 14:00:00,2005-06-07 14:30:00,0.88,0,0,0,0,0,0,0,0
1191325,2005-06-05 13:50:00,2005-06-05 15:00:00,0,0,0,0,0,0,0,0,3
53025,2011-05-14 17:01:00,2011-05-15 14:00:00,0,0,3,0,0,0,0,0,0
87362,2014-07-01 02:30:00,2014-07-01 02:35:00,0,0,0,0,0,0,0,0,3
87366,2014-06-18 12:56:00,2014-06-19 03:28:00,0,0,0,0,0,0,0,0,3
1221162,2006-09-27 16:48:00,2006-09-27 16:48:00,0.75,0,0,0,0,0,0,0,0
63111,2012-06-16 16:40:00,2012-06-16 18:00:00,0,0,1,0,0,0,0,0,3
62463,2012-05-29 03:30:00,2012-05-29 08:59:00,0,0,3,0,0,0,0,0,3
9631,2007-09-26 06:30:00,2007-09-26 07:30:00,0,0,1,0,0,0,0,0,0
10389,2007-08-15 20:18:00,2007-08-16 03:39:00,1.75,0,0,0,0,0,0,2,3
40987,2010-06-11 11:43:00,2010-06-11 16:40:00,0,0,3,0,0,0,0,0,3
94155,2015-05-11 12:57:00,2015-05-11 14:03:00,0,0,0,0,0,0,0,0,3
44646,2010-08-11 05:35:00,2010-08-11 11:45:00,0,0,1,0,0,0,0,0,3
44641,2010-08-13 19:20:00,2010-08-13 21:45:00,0,0,2,0,0,0,0,0,0
28792,2009-05-30 22:54:00,2009-05-30 23:45:00,0.88,0,0,0,0,0,0,0,0
63593,2012-06-28 19:10:00,2012-06-28 21:40:00,1.0,0,0,0,0,0,0,0,3
16426,2008-05-30 16:44:00,2008-05-31 23:59:00,1.0,0,3,0,0,0,0,0,0
1214578,2006-07-22 00:10:00,2006-07-22 00:10:00,0,0,0,0,0,0,0,0,3
1203297,2006-01-02 12:59:00,2006-01-02 15:40:00,1.75,0,0,0,0,0,0,0,3
71530,2013-01-13 23:00:00,2013-01-13 23:01:00,0,0,2,0,0,0,0,0,0
1207592,2006-04-19 00:17:00,2006-04-19 00:30:00,1.25,0,0,0,0,0,0,0,0
1207590,2006-04-16 20:40:00,2006-04-16 20:40:00,0.75,0,0,0,0,0,0,0,0
1207597,2006-04-19 00:00:00,2006-04-19 00:00:00,0.75,0,0,0,0,0,0,0,0
1210774,2006-05-30 16:00:00,2006-05-30 19:52:00,0.75,0,0,0,0,0,0,0,3
10095,2007-08-16 16:20:00,2007-08-16 16:24:00,1.0,0,0,0,0,0,0,0,0
10099,2007-08-09 06:03:00,2007-08-09 07:16:00,0,0,0,0,0,0,0,0,3
1210772,2006-05-31 13:35:00,2006-05-31 15:21:00,0,0,0,0,0,0,0,1,3
1205573,2006-03-11 17:40:00,2006-03-13 10:10:00,0,0,2,0,0,0,0,0,0
1205572,2006-03-11 18:10:00,2006-03-13 11:30:00,0,0,2,0,0,0,0,0,0
1205571,2006-03-09 23:10:00,2006-03-10 15:10:00,0,0,2,0,0,0,0,0,0
1205570,2006-03-31 21:45:00,2006-03-31 21:45:00,0,0,0,0,0,0,0,0,3
1212597,2006-05-17 17:36:00,2006-05-17 17:38:00,0.88,0,0,0,0,0,0,0,0
86695,2014-06-23 13:30:00,2014-06-23 13:30:00,0,0,0,0,0,0,0,0,3
29963,2009-05-13 19:00:00,2009-05-29 18:30:00,0,0,2,0,0,0,0,0,0
1215489,2006-07-20 05:00:00,2006-07-20 10:40:00,0,0,0,0,0,0,0,0,1
26804,2009-02-11 08:00:00,2009-02-12 00:08:00,0,0,0,0,0,0,0,2,3
7675,2007-06-26 13:00:00,2007-06-26 17:00:00,0,0,3,0,0,0,0,0,0
1215485,2006-07-27 17:11:00,2006-07-27 18:30:00,0,0,2,0,0,0,0,0,3
37177,2010-04-07 18:00:00,2010-04-07 18:36:00,0,0,1,0,0,0,0,0,3
1208068,2006-04-07 13:15:00,2006-04-07 17:17:00,2.0,0,0,0,0,0,0,0,0
5457,2007-06-23 18:46:00,2007-06-23 18:46:00,0.75,0,0,0,0,0,0,0,0
30529,2009-06-22 08:52:00,2009-06-22 12:21:00,0,0,0,0,0,0,0,0,3
40960,2010-06-21 08:01:00,2010-06-21 23:12:00,0.88,0,3,0,0,0,0,0,3
30524,2009-06-20 02:39:00,2009-06-20 02:39:00,0,0,0,0,0,0,0,0,3
29814,2009-06-01 16:08:00,2009-06-01 17:01:00,0.88,0,0,0,0,0,0,0,3
1177,2007-01-17 00:00:00,2007-01-19 23:00:00,0,0,2,0,0,0,0,0,0
1201615,2005-11-15 17:30:00,2005-11-15 17:45:00,0,0,0,0,0,0,0,0,3
15443,2008-04-01 00:00:00,2008-04-19 13:00:00,0,0,2,0,0,0,0,0,0
83125,2014-03-01 00:00:00,2014-03-05 12:00:00,0,0,2,0,0,0,0,0,0
31691,2009-07-19 11:12:00,2009-07-19 11:13:00,0,0,0,0,0,0,0,0,0
1214758,2006-06-07 14:15:00,2006-06-07 14:15:00,1.0,0,0,0,0,0,0,0,0
86185,2014-05-09 16:41:00,2014-05-09 19:01:00,1.0,0,0,0,0,0,0,0,3
50093,2011-04-23 02:40:00,2011-04-23 03:45:00,0,0,3,0,0,0,0,0,0
39597,2010-06-03 16:33:00,2010-06-03 16:37:00,0,0,0,0,0,0,0,0,3
50258,2011-04-09 08:00:00,2011-04-30 23:59:00,0,0,2,0,0,0,0,0,0
50257,2011-04-22 06:00:00,2011-04-30 23:59:00,0,0,2,0,0,0,0,0,0
44295,2010-05-21 21:31:00,2010-05-22 03:00:00,0,0,3,0,0,0,0,0,0
76152,2013-06-23 14:36:00,2013-06-23 14:59:00,1.0,0,0,0,0,0,0,0,3
76158,2013-06-26 19:00:00,2013-06-26 20:30:00,0,0,3,0,0,0,0,0,0
