EPISODE_ID,DURACION,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES,ZONA,CLASE,RIESGO
73398,5.68333333333,0.0,40.992865,3,-86.21423,0,158.38287559,0,0,3,0,13,5,no
65098,0.966666666667,0.0,39.61696,0,-84.96701,0,63.3899790808,0,0,3,0,12,2,no
4025,3.85,0.0,41.2634111111,0,-86.0300962963,0,127.099949792,0,1,3,0,13,4,no
22660,4.96666666667,1.75,39.5924571429,0,-86.4910142857,0,143.334580819,0,0,3,0,7,5,si
61456,1.01666666667,0.88,40.894,0,-85.51,0,65.2609658249,0,0,0,0,8,5,no
14290,5.83333333333,1.0,38.3153421053,3,-86.2416263158,0,88.7131331786,0,0,3,0,1,2,si
32836,2.58333333333,1.75,39.95952,0,-86.31621,0,124.865097599,0,0,3,0,9,5,si
75542,4.51666666667,2.0,40.9831578947,0,-85.6642105263,0,119.082157178,0,0,3,0,8,1,no
65279,5.41666666667,1.75,41.3526125,0,-87.3193875,0,29.1423563115,0,0,3,0,0,4,no
61195,2.16666666667,2.0,39.846628,0,-85.870148,0,75.8258985065,0,0,0,0,9,2,no
61190,4.43333333333,1.75,39.7632310345,2,-86.2203465517,0,211.698757343,0,0,3,1,9,4,si
25380,39.5666666667,0.0,39.00815,2,-85.88735,0,6.29761648842,0,0,0,0,11,2,no
3771,49.1333333333,0.0,38.9989,2,-85.9,0,3.21868,0,0,0,0,11,2,no
3770,71.5666666667,0.0,38.9989,2,-85.9,0,3.21868,0,0,0,0,11,2,no
32014,1.65,0.75,39.290125,0,-86.650825,0,150.61298796,0,0,3,0,7,5,si
1219870,0.716666666667,0.75,38.8875,0,-85.1825,0,28.7010032999,0,0,3,0,5,3,si
1201296,6.41666666667,0.0,38.2333333333,3,-86.11,0,59.9434378972,0,0,3,0,1,2,si
1201297,2.0,0.0,38.3588888889,0,-86.3911111111,0,71.8043880444,0,0,3,0,1,1,si
1201294,1.08333333333,0.0,38.3233333333,0,-86.05,0,67.3912094849,0,0,3,0,1,1,si
1201299,0.833333333333,0.0,38.485,0,-86.225,0,23.1181166033,0,0,3,0,1,1,si
1207821,3.93333333333,2.5,38.4564285714,0,-86.0878571429,0,100.206991325,0,0,3,0,1,1,si
1207826,1.25,1.0,38.3844444444,0,-86.4233333333,0,75.0143013881,0,0,0,0,1,3,si
43503,6.76666666667,0.0,39.8431125,1,-86.8091625,0,168.70768993,0,0,3,0,10,3,si
